오래 지켜온 것에 자부심이 있어서, 남들이 뭐라 하든 크게 흔들리지 않는다.,rock|dark,5,4,3,2,1
한번 욱하면 잘 가라앉지 않아서, 지나고 보면 좀 과했다 싶을 때가 있다.,fire,5,4,3,2,1
일이 복잡하게 꼬일수록 한발 떨어져서 전체 그림부터 본다.,flying,5,4,3,2,1
남들이 무심코 하는 말이나 행동에도 신경이 곤두설 때가 많다.,poison,5,4,3,2,1
말로 하는 약속보다 행동으로 보여주는 사람을 믿는다.,fighting,5,4,3,2,1
손에 익은 물건은 낡아도 쉽게 버리지 못한다.,rock,5,4,3,2,1
상대의 머리 모양이나 기분 같은 작은 변화를 잘 알아채고 먼저 말해주는 편이다.,bug|fairy,5,4,3,2,1
나도 모르게 뼈 있는 한마디를 얹었다가, 상대가 움찔하는 걸 볼 때가 있다.,poison,5,4,3,2,1
웬만한 일은 참고 넘기지만, 한계가 오면 스스로도 놀랄 만큼 크게 터진다.,water,5,4,3,2,1
기분이 좋으면 숨기지 못해서, 주변 분위기까지 덩달아 들뜬다.,electric,5,4,3,2,1
분위기가 서먹해지면 먼저 다가가서 풀어보려 한다.,fairy,5,4,3,2,1
부당한 상황을 보면 그냥 지나치지 못하고 나서서 짚는다.,fighting,5,4,3,2,1
새로 알게 된 사람은 겪어보기 전까지 온전히 믿지 않는다.,poison,5,4,3,2,1
정말 중요한 부분에서는 다툼이 생기더라도 타협하지 않는다.,steel,5,4,3,2,1
먼저 맞서지는 않지만, 옳다고 믿는 입장만큼은 절대 굽히지 않는다.,rock,5,4,3,2,1
부딪힐 일이 생기면 피하지 않고 정면으로 맞서서 결판을 내야 마음이 풀린다.,fire,5,4,3,2,1
나만의 루틴이 무너지면 그날 하루가 통째로 흔들리는 기분이 든다.,steel,5,4,3,2,1
좋은 생각이 떠오르면 바로 해봐야지, 묵혀두면 몸이 근질거린다.,electric,5,4,3,2,1
일할 때는 그날 기분보다 미리 정해둔 기준을 우선한다.,steel,5,4,3,2,1
